@relation LibReaderClassificationProblem

@attribute userid string
@attribute username string
@attribute major string
@attribute college string
@attribute bookname string
@attribute author string
@attribute topic string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
20100100003,username,英语（高级翻译）,英语语言文化学院,英语文笔精华,孙云英,英语,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语新闻的语言特点与翻译,朱伊革,新闻,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语笔译综合能力,汪福祥,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,英语简史,莫塞,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,落雪初恋,青闰,英语,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,蓝房子,'北岛,',散文,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,行善的诱惑,德鲁克,长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,西方风情录,陈红薇,英语,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,译海淘沙录,张传彪,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,走向职场,'布洛克,',英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,走进美国脱口秀,张晓霞,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,走遍中国英语口语丛书,刘上扶,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,达尔文密码,孟庆祥,企业管理,chi,社会科学
20100100003,username,英语（高级翻译）,英语语言文化学院,追赶流星,凡尔纳,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,透明的哀伤,'席慕蓉,',散文,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,通往天堂之路,'伍来尔顿,戴维',null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,遇见未知的自己,于阳,散文,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,遭遇异人的夏天,'山田太一,',长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,钢铁是怎样炼成的,奥斯特洛夫斯基,长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,陕西英语导游,姚宝荣,导游,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,零起点法语,盖莲香,法语,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,饮食保健365妙计,沈黎风,食物养生,chi,科学技术
20100100003,username,英语（高级翻译）,英语语言文化学院,骆驼祥子,'老舍,',长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,高级商务英语阅读教程,徐李洁,商务,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,高级财务会计,常勋,财务会计,chi,社会科学
20100100003,username,英语（高级翻译）,英语语言文化学院,麦琪的礼物,'欧亨利,',短篇小说,engchi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,'Communication across cultures :','Hatim, B.',null,chi,自然科学
20100100004,username,英语（高级翻译）,英语语言文化学院,'El maestro de esgrima /','Pérez-Reverte, Arturo,',null,chi,自然科学
20100100004,username,英语（高级翻译）,英语语言文化学院,'Enredadas /','Montes, Isabel,',null,chi,自然科学
20100100004,username,英语（高级翻译）,英语语言文化学院,'Translator as communicator','Hatim, Basil',null,chi,自然科学
20100100004,username,英语（高级翻译）,英语语言文化学院,了不起的盖茨比,'菲茨杰拉德,',长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,厄兆,'金,斯蒂芬(King. Stephen)',长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,商务英语口语实力派,王慧莉,null,chi,自然科学
20100100004,username,英语（高级翻译）,英语语言文化学院,国俗语义研究,吴友富,null,chi,自然科学
20100100004,username,英语（高级翻译）,英语语言文化学院,城市与狗,略萨,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,基础会计,葛文芳,null,chi,自然科学
20100100004,username,英语（高级翻译）,英语语言文化学院,外国文学名著精粹全集,哈谢克,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,奔跑的记忆,麦拉提,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,威利和乔,斯尼德,英语,chieng,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,'富爸爸 财务自由之路',清崎,家庭经济学,chi,社会科学
20100100004,username,英语（高级翻译）,英语语言文化学院,富爸爸穷爸爸,清崎,家庭,chi,社会科学
20100100004,username,英语（高级翻译）,英语语言文化学院,尸骨袋,'金,',恐怖小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,巴黎伦敦落魄记,奥威尔,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,幽灵之家,阿连德,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,我们其实没那么要好,罗森菲尔德,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,手机,金,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,挪威的森林,村上春树,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,数字城堡,布朗,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,文化翻译论纲,'刘宓庆,',翻译理论,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,旅店里的小男侍,阿尔杰,null,chi,自然科学
20100100004,username,英语（高级翻译）,英语语言文化学院,时间机器,'韦尔斯,',长篇小说,chieng,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,枪侠,金,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,永别了武器,'海明威,',小说,chieng,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,灿烂千阳,侯塞尼,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,白牙,史密斯,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,窄门,纪德,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,罗丹岛之恋,斯帕克斯,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,翻译与跨文化交流,胡庚申,翻译,chieng,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,英国病人,翁达杰,英语,chieng,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,蒂凡尼的早餐,卡波特,null,chi,自然科学
20100100004,username,英语（高级翻译）,英语语言文化学院,达·芬奇密码,布朗,长篇小说,chi,人文科学
20100100004,username,英语（高级翻译）,英语语言文化学院,骗局,布朗,长篇小说,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,14天突破英语专业八级满分人文知识与改错,方振宇,英语,chieng,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,'Access数据库程序设计 (二级)',范俊弟,关系数据库,chi,科学技术
20100100005,username,英语（高级翻译）,英语语言文化学院,'Introducing translation studies','Munday, Jeremy',null,chi,自然科学
20100100005,username,英语（高级翻译）,英语语言文化学院,'Translation :','Hatim, B.',null,chi,自然科学
20100100005,username,英语（高级翻译）,英语语言文化学院,一九八四,'奥威尔,',null,chi,自然科学
20100100005,username,英语（高级翻译）,英语语言文化学院,与神回家,沃尔什,人生观,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,与神对话,沃尔什,人生观,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,健身很简单,逊莫尔,生活,chi,科学技术
20100100005,username,英语（高级翻译）,英语语言文化学院,凯尔特的薄暮,叶芝,英语,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,凯尔特的薄暮,'叶芝,',散文集,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,刹那记,'雪小禅,',散文集,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,前世的愿望是今生的际遇,施瓦茨,人生哲学,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,国际贸易实务,周桂荣,国际贸易,chi,社会科学
20100100005,username,英语（高级翻译）,英语语言文化学院,夏洛的网,怀特,童话,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,威利和乔,斯尼德,英语,chieng,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,富爸爸财务自由之路,清崎,null,chi,自然科学
20100100005,username,英语（高级翻译）,英语语言文化学院,对外宣传翻译理论与实践,衡孝军,翻译,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,弗洛伊德与精神分析,斯托尔,英语,chieng,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,心想事成的秘密,希克斯,成功心理学,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,心的菩提,'林清玄,',散文,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,我的缪斯,谭恩美,散文集,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,推开金融之窗,李国平,金融学,chi,社会科学
20100100005,username,英语（高级翻译）,英语语言文化学院,日本格调,清少纳言,随笔,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,明日之神,沃尔什,人生观,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,漫画英国,李元馥,漫画,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,爱的教育,亚米契斯,'儿童文学Aer tong wen xue',chieng,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,瓦尔登湖,梭罗,散文,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,瓦尔登湖,'梭罗,',散文,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,画堂香事,孟晖,香料,chi,社会科学
20100100005,username,英语（高级翻译）,英语语言文化学院,禅宗语录,江蓝生,汉语,chieng,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,简明科学技术史,'杨水旸,',自然科学史,chi,自然科学
20100100005,username,英语（高级翻译）,英语语言文化学院,红字,霍桑,长篇小说,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,纳尼亚传奇完全电影手册,莫尔,电影评论,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,纵横,王欣,翻译,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,绿野仙踪,鲍姆,童话,chi,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,网际科普英语,毛荣贵,科学技术,chieng,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,翻译美学,'毛荣贵,',翻译理论,chieng,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,英语专业8级人文知识,刘宝权,英语,chieng,人文科学
20100100005,username,英语（高级翻译）,英语语言文化学院,英语专业八级改错,张艳莉,英语,chieng,人文科学
