@relation LibReaderClassificationProblem

@attribute bookname string
@attribute author string
@attribute publisher string
@attribute topic string
@attribute categorycode string
@attribute acquirecode string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
宿命,东野圭吾,海口南海出版公司2009,长篇小说,I313.45,I313.45/D769-8,chi,人文科学
十一字杀人,'东野圭吾,',上海上海译文出版社2010,长篇小说,I313.45,I313.45/D769-18,chi,人文科学
England.,'England (Hawthorn, Vic.)',null,null,null,K956.1/E0,null,自然科学
雅思考试(IELTS)语音语调强化,'杜安,',北京世界图书出版公司北京公司2003,英语,H319.9,H319.9/D815,chieng,人文科学
雅思精选试题解析,宁园,上海上海交通大学出版社2004,英语,H310.41,H310.41/N469.0,chieng,人文科学
'Rereading Britain today :','Zhong, Weihe',null,null,null,K956.1/Z376.8,null,自然科学
剑桥雅思写作精练,杨凡,北京外语教学与研究出版社2008,英语,H315-44,H315-44/Y162.0,chieng,人文科学
大学英语口语考试话题训练30例,侯艳,武汉武汉大学出版社2002,英语,H319.9,H319.9/H789,chieng,人文科学
用英语说全球时事热点,吴瑞,北京中国宇航出版社2010,英语,H319.9,H319.9/W860.1-1,chieng,人文科学
国际会展英语口语,董元元,大连大连理工大学出版社2011,展览会,H319.9,H319.9/D769.9,chieng,人文科学
商界裸奔,布兰森,北京中信出版社2011,企业管理,F279.561.3,F279.561.3/B851,chieng,社会科学
商务沟通案例,'奥罗克,',北京北京大学出版社2005,企业管理,F279.1,F279.1/A758,chi,社会科学
下一个大泡泡,'登特,',北京中国社会科学出版社2005,股票,F830.91,F830.91/D267,chi,社会科学
'Princess Izzy and the E Street shuffle :','Bartlett, Beverly.',null,null,null,I712.45/B167.11,null,自然科学
'Victoria line, Central line /','Binchy, Maeve.',null,null,null,I562.4/B451.5-2,null,自然科学
'Echoes /','Binchy, Maeve.',null,null,null,I562.4/B451.5-1,null,自然科学
中华文化概要,<BR>,北京华文出版社1996.10,文化史,K203,K203/Z973.99,chi,人文科学
中国哲学与中华文化,'曲辰,',银川宁夏人民出版社2006,文化哲学,G02,G02/Q810,chi,社会科学
法语入门,卡彭特，,香港万里机构·万里书店2003,法语,H32,FRE/H32/99,chifre,人文科学
英语疑难词典,张维,北京外语教学与研究出版社2007,英语,H316,H316/Z316.80-1,chieng,人文科学
汉英称谓词典,朱建成,广州广东世界图书出版公司2007,英语,H316,null,chieng,人文科学
朗文常用英文词根词典,沃克,北京外语教学与研究出版社1999,英语,H316,H316/W742.4,chieng,人文科学
'Random House Webster\'s power vocabulary builder','Random House',null,null,null,H316/R3,null,自然科学
CNN英语精读精听,《CNN英语丛书》编委会,北京世界图书出版公司北京公司2004,英语,H319.9,H319.9/C559.91/4,chieng,人文科学
新闻英语分类词典,林梅,北京外语教学与研究出版社2000,新闻学,G210-61,G210-61/L455.0,chieng,社会科学
新闻学,何长文,大连大连理工大学出版社2008,新闻学,G210-43,G210-43/H218,chieng,社会科学
'Looking for Peyton Place /','Delinsky, Barbara.',null,null,null,I712.45/D254.1-4,null,自然科学
英国散文的流变,王佐良,北京商务印书馆2011,散文,I561.076,I561.076/W169.5-1,chieng,人文科学
英语词缀与英语派生词,李平武,北京外语教学与研究出版社2003,英语,H314.1,H314.1/L468,chieng,人文科学
英语文体学引论,王佐良,北京外语教学与研究出版社1987年12,null,H319.4,H319.4/W169.5,chi,人文科学
中国文化概论,'张岱年,',北京北京师范大学出版社2004,文化史,K203,K203/Z316.25,chi,人文科学
中国文化要略,程裕祯,北京外语教学与研究出版社1998,文化史,K203,null,chi,人文科学
大学英语联想词典,钱建立,成都西南交通大学出版社2000,英语,H316,H316/Q415.45,chieng,人文科学
英语用法精解词典,薛永库,北京中国书籍出版社2000,英语,H316,H316/X829.4,chieng,人文科学
英汉美英报刊辞典,周学艺,北京外语教学与研究出版社2002,英语,H316,H316/Z378.99,chieng,人文科学
托福作文155篇,刘毅,北京外语教学与研究出版社2003,英语,H315,H315/L489,chieng,人文科学
英美文学和艺术中的古典神话,'盖利,',上海上海人民出版社2005,文学评论,I106,I106/G145,chi,人文科学
中世纪和文艺复兴时期的文学研究,刘易斯,上海华东师范大学出版社2010,文学研究,I109.3,I109.3/L489,chi,人文科学
'Mythology :','Hamilton, Edith,',null,null,null,I199/H154.2,null,自然科学
'古希腊罗马神话传说 /','Berens, E. M.',null,null,null,I199/B262.2,null,自然科学
心的角度,史铁生,北京中国青年出版社2008.05,散文,I267,I267/S347.7-9,chi,人文科学
所谓大学,史生荣,北京作家出版社2009,长篇小说,I247.5,I247.5/S347.61,chi,人文科学
空姐之恋,王海兰,南京江苏人民出版社2008,长篇小说,I247.5,I247.5/W163.52,chi,人文科学
男人是这样炼成的,艺术总监,北京现代出版社2005,长篇小说,I247.5,I247.5/Y479.4,chi,人文科学
英语时态应用指导,奚宝芬,北京外语教学与研究出版社1998.2,英语,H314,H314/X412,chi,人文科学
解词析义记单词,张宇绰,北京世界图书出版公司北京公司笛藤出版图书有限公司2001,英语,H313,H313/Z316.91/3,chieng,人文科学
英语惯用法的奥秘,王福祯,北京中国国际广播出版社2005,英语,H314,H314/W162.91,chieng,人文科学
英语词根、前缀、后缀词典,马永红,北京中国人民大学出版社2000,英语,H314.1-61,H314.1-61/M193,chi,人文科学
英汉设计艺术词汇,王龙辉,济南山东大学出版社2006,艺术,J06-61,J06-61/W165.3,chi,人文科学
犹太人在亚洲,潘光,上海上海三联书店2007,犹太人,K18,K18/P153.0-1,chieng,人文科学
图解欧洲文明史,徐伟锋,北京九州出版社2010,文化史,K500.3,K500.3/X882,chi,人文科学
识途篇,李赋宁,北京商务国际出版社1998.5,英语,H319,H319/L425/1,chi,人文科学
'Jean Price-Mars and Haiti /','Antoine, Jacques Carmeleau.',null,null,null,K837.527/A577.4,null,自然科学
新托福满分词汇,王令,北京外文出版社2006,英语,H313,H313/W165.0,chieng,人文科学
灵魂之心,祖卡夫,北京华文出版社2010,情绪,B842.6-49,B842.6-49/Z841,chi,人文科学
基础日本语,宋健榕,广州广东世界图书出版公司2008,日语,H369,H369/S764/1,chi,人文科学
综合日语,彭广陆,北京北京大学出版社2009,日语,H369,JPN/H369/4,chijpn,人文科学
奥运英语报道选读,胡阳,北京清华大学出版社2007,奥运会,H319.4,H319.4/H890-1,chieng,人文科学
世界风情英语80主题,白瑞,北京中国宇航出版社2010,英语,H319.4,H319.4/B146.0,chieng,人文科学
趣味田径英汉双语教程,尹军,北京北京航空航天大学出版社2008,英语,H319.4:G82,H319.4:G82/Y454.0,chieng,人文科学
助你成才,李树德,武汉湖北人民出版社2009,家庭教育,H319.4:G78,H319.4:G78/L472,chieng,人文科学
体育英语,韩冰,北京首都经济贸易大学出版社2003,体育,H319.4:G8,H319.4:G8/H151.0,chieng,人文科学
美国旅店,郁秀,南京江苏文艺出版社2004,长篇小说,I247.57,I247.57/Y890.1,chi,人文科学
追飞行员的日子,又又花,南京江苏文艺出版社2008,长篇小说,I247.57,I247.57/Y789.3,chi,人文科学
四级阅读,朱篱,北京清华大学出版社2001,英语,H319.4,H319.4/Z385.0-1,chieng,人文科学
自己拯救自己,'斯迈尔斯,',乌鲁木齐新疆科学技术出版社2003,道德,H319.4:B,H319.4:B/S451,engchi,人文科学
新概念英语自学导读,孙玉荣,北京外语教学与研究出版社2001,英语,H31,H31/S859.6,chieng,人文科学
中国文化释疑,金乃逯,北京北京语言学院出版社1999.7,文化,H319.4:G,H319.4:G/J455.5,chi,人文科学
孙子兵法,孙武,北京外文出版社2001,兵法,H319.4:E892.25,H319.4:E892.25/S858.0,chieng,人文科学
新编英语口语实用辞典,李星红,北京商务国际出版社2004,英语,H319.9-61,H319.9-61/L493,chi,人文科学
'新概念英语之 (全新全绎)',周成刚,西安西安交通大学出版社2006,英语,H31-42,H31-42/Z378.13,chieng,人文科学
英国史,特里维廉,北京中国社会科学出版社2008,英国,K561.0,K561.0/T254,chi,人文科学
苏轼诗词选,'许渊冲,',石家庄河北人民出版社2006,宋词,H319.4,H319.4/X891-6,chieng,人文科学
'美国总统就职演说赏析Amei guo zong tong jiu zhi yan shuo shang xi','肖福寿,',上海上海大学出版社2009,英语,H319.4,H319.4/X417.27,chieng,人文科学
新闻英语文体与范文评析,张健,上海上海外语教育出版社c1994.4,null,H31:G21,H31:G21/Z316.40,chi,人文科学
快速突破10000词,陈璞,北京外文出版社2003,英语,H313,H313/C325.60/1/2,chieng,人文科学
读人,季米特里耶夫,天津天津教育出版社2009,行为,B848.4,B848.4/J454.1,chi,人文科学
英汉功能翻译理论与实践,'邓跃平,',长沙湖南人民出版社2011,英语,H315.9,H315.9/D269.6,chi,人文科学
研究生应用翻译教程,孙宁宁,南京河海大学出版社2010,英语,H315.9,H315.9/S855.5,chieng,人文科学
自我教育,罗进,兰州甘肃人民出版社1998,自我教育,B848,B848/L874.0,chi,人文科学
论生命之短暂,塞内加,北京中国对外翻译出版有限公司2012,英语,H319.4:B08,H319.4:B08/S145-1,chieng,人文科学
当代西方文论与翻译研究导引,祝朝伟,南京南京大学出版社2012,英语,H315.9,H315.9/Z381.8,chieng,人文科学
孤独,科克,贵阳贵州人民出版社2010,情绪,B842.6,B842.6/K242,chi,人文科学
'北极光, 请将我遗忘',维达,上海上海人民出版社2009,长篇小说,I712.45,I712.45/W242.1,chi,人文科学
'返老还童, 又名, 本杰明·巴顿奇事',菲茨杰拉德,北京中国宇航出版社2011,英语,H319.4:I712,H319.4:I712/F241-4,chieng,人文科学
解读心灵密码,傅平原,广州广州出版社2003,人间交往,C912.1,C912.1/F869,chi,社会科学
中国哲学十讲,'李石岑,',桂林广西师范大学出版社2010,哲学,B2,B2/L471,chi,人文科学
郁达夫散文,'郁达夫,',北京人民文学出版社2008,散文集,I266,I266/Y822-17,chi,人文科学
文字不是东西,'刘绍铭,',南京江苏教育出版社2006,随笔,I267.1,null,chi,人文科学
'The lost symbol :','Brown, Dan,',null,null,null,I712.45/B678.2-7,null,自然科学
百年孤独,'马尔克斯,',海口南海出版公司2001,小说,I775.45,I775.45/M126-3,chi,人文科学
九型人格与血型密码,毛定娟,天津天津科学技术出版社2009,血型,B848.6-49,B848.6-49/M172.4,chi,人文科学
九型人格,韦布,北京团结出版社2000,人格心理学,B848,B848/W241,chi,人文科学
顾城作品精选,'顾城,',武汉长江文艺出版社2009,诗歌,I217.2,I217.2/G810,chi,人文科学
舒婷的诗,舒婷,北京人民文学出版社1994,诗歌,I227.2,I227.2/S387.0,chi,人文科学
白狗秋千架,'莫言,',上海上海文艺出版社2005,短篇小说,I247.7,I247.7/M790-7,chi,人文科学
羊皮卷大全集,李卫,北京新世界出版社2008,成功心理学,B848.4-49,B848.4-49/L480,chi,人文科学
相约在雨季,市川拓司,青岛青岛出版社2008.01,长篇小说,I313.45,null,chi,人文科学
追随她的旅程,路内,北京中信出版社2009,长篇小说,I247.57,I247.57/L850.1-1,chi,人文科学
纳兰容若,泉凌波,北京中国画报出版社2011,'纳兰性德,',K825.6=49,K825.6=49/Q955.1,chi,人文科学
哲学的故事,'杜兰特,',北京中国女妇出版社2004,哲学史,B5,B5/D851,chi,人文科学
英汉实例翻译技巧,于岚,北京旅游教育出版社1997.1,英语,H315.9,H315.9/Y850,chi,人文科学
'Working with emotional intelligence','Goleman, Daniel',null,null,null,B842.6/G752.2/1,null,自然科学
择偶记,'朱自清,',北京京华出版社2005,散文,I266,I266/Z389.6-22,chi,人文科学
四世同堂,老舍,北京北京十月文艺出版社1998,长篇小说,I246.5,I246.5/L177.0/3,chi,人文科学
赵树理代表作,'赵树理,',北京华夏出版社2008,文学,I217.2,I217.2/Z317.75,chi,人文科学
下南洋,'杨金远,',北京群言出版社2009,长篇小说,I247.57,I247.57/Y164.91,chi,人文科学
宋美齡回憶錄,'宋美龄,',北京东方出版社2010,'宋美龄,',K827=76,K827=76/S765.5,chi,人文科学
沈从文晚年口述,'沈从文,',西安陕西师范大学出版社2003,'沈从文,',K825.6,K825.6/S325.18,chi,人文科学
寒夜,巴金,北京人民文学出版社1983,长篇小说,I246.5,I246.5/B140/3,chi,人文科学
这是路口,王星,青岛青岛出版社2009,随笔,I267.1,I267.1/W169.05,chi,人文科学
张爱玲经典作品选,'张爱玲,',北京当代世界出版社2002,'张爱玲,',I217.2,I217.2/Z316.15/4,chi,人文科学
全球通史,斯塔夫里亚诺斯,北京北京大学出版社2006,世界史,K10,K10/S471-1,chi,人文科学
路遥文集,路遥,西安陕西人民出版社1995,文学,I217.2,I217.2/L890/1,chi,人文科学
我的大学,高尔基,奎屯伊犁人民出版社[?]柯文出版社2001,英语,H319.4:I512,H319.4:I512/G172/2,chieng,人文科学
长篇历史小说《曾国藩》,唐浩明,长沙湖南文艺出版社1991.10,历史小说,I247.53,I247.53/T165.3/:2/2,chi,人文科学
牛虻,'伏尼契(E. L. Voynich)',南京译林出版社1995.6,长篇小说,I561.44,I561.44/F854/1,chi,人文科学
蝴蝶梦,'杜穆里埃,',西安陕西人民出版社2002,长篇小说,H319.4:I561,H319.4:I561/D858.1,chieng,人文科学
巴金选集,巴金,成都四川人民出版社1995,长篇小说,I217.2,I217.2/B140/:4/4,chi,人文科学
雍正皇帝,赵晖,北京北京图书馆出版社2000,传记小说,I247.53,I247.53/Z317.30/1,chi,人文科学
曾国藩,唐浩明,长沙湖南文艺出版社1992,曾国藩,I247.53,I247.53/T165.3/:3/3,chi,人文科学
八十天周游世界,凡尔纳,北京语文出版社1997.1,null,H319.51,H319.51/F152,chi,人文科学
双城记,'Dickens, Charles, 1812-1870',北京语文出版社1997.1,英语,H319.51,H319.51/D414.1/1=97,chi,人文科学
呼啸山庄,'勃朗特(Bronte, E.)',北京语文出版社1997.1,英语,H319.51,H319.51/B675.2,chi,人文科学
童年,高尔基,南京译林出版社1998,长篇小说,I512.45,I512.45/G172/8,chi,人文科学
歌德经典,'歌德,',兰州甘肃文化出版社2004,文学,I516.14,I516.14/G222/7,chi,人文科学
职业生涯与管理,姚裕群,湖南湖南师范大学出版社2007,企业管理,F272.92,F272.92/Y179.6,chi,社会科学
李陵传奇之风云乍起,'贾涤非,',北京新星出版社2007,长篇小说,I247.53,I247.53/J412.2,chi,人文科学
女生寝室3,沈醉天,南宁广西人民出版社2008,长篇小说,I247.56,I247.56/S325.97-1,chi,人文科学
杨贵妃与唐明皇,'王向,',北京中国社会出版社2009,历史小说,I247.53,I247.53/W169.01,chi,人文科学
夜半笛声,蔡骏,海口南海出版公司2012,长篇小说,I247.56,I247.56/C144.0-13,chi,人文科学
新编国际商务英语函电,程同春,南京东南大学出版社2001,国际贸易,H315,H315/C326.71,engchi,人文科学
王阳明,许葆云,西安陕西人民出版社2012,章回小说,I247.53,I247.53/X819,chi,人文科学
心咒,三月阳,北京中国人民公安大学出版社2009,长篇小说,I247.56,I247.56/S159.9,chi,人文科学
千古孔子,'杨力,',北京中国文联出版社2003,历史小说,I247.53,I247.53/Y165.0/2,chi,人文科学
杜牧诗选,'杜牧,',北京中华书局2009,'杜牧,',I222.742,I222.742/D850-2,chi,人文科学
王阳明诗歌选译,'王守仁,',成都西南交通大学出版社2008,古典诗歌,I222.748,I222.748/W167.6,chi,人文科学
荆轲,高阳,北京华夏出版社2008.03,历史小说,I247.53,null,chi,人文科学
韩信,'南宫搏,',长沙岳麓书社2003,传记小说,I247.53,I247.53/N153.1/9,chi,人文科学
中国历代舌战总集,'赵谷怀,赵统',北京中国言实出版社1998,辩论,H019,H019/Z317.33/1,chi,人文科学
外贸实务经验分享33例,<BR>,北京中国海关出版社2009,对外贸易,F740.4,F740.4/T789.89,chieng,社会科学
中国典籍英译,汪榕培,上海上海外语教育出版社2009,古典文学,H315.9,H315.9/W166.6,chieng,人文科学
女生寝室,沈醉天,南宁广西人民出版社2006,长篇小说,I247.56,I247.56/S325.97,chi,人文科学
'Tell me your dreams /','Sheldon, Sidney.',null,null,null,I712.45/S325.7-17,null,自然科学
虫图腾,闫志洋,北京新星出版社2011,长篇小说,I247.56,I247.56/Y159.9,chi,人文科学
北魏的那一段惊弦,'忻尚龙,',合肥安徽文艺出版社2010,长篇历史小说,I247.53,I247.53/X457.5,chi,人文科学
儒林外史,吴敬梓,上海上海古籍出版社2000,古典小说,I242.4,I242.4/W849/1,chi,人文科学
儒林外史与中国士文化,胡益民,合肥安徽大学出版社2005,'吴敬梓,儒林外史',I207.419,I207.419/H895,chi,人文科学
'The scholars /','Wu, Jingzi',null,null,null,I242.4/W849,null,自然科学
实用英汉汉英口译教程,陶庆,大连大连理工大学出版社2006,英语,H315.9,H315.9/T176.0,chieng,人文科学
触不到的真相,马若水,南宁广西人民出版社2012,长篇小说,I247.56,I247.56/M167,chi,人文科学
唐人白话绝句百首英译,'张智中,',北京国防工业出版社2009,诗歌,H319.4:I207.22,I207.22/Z316.994,chieng,人文科学
红译艺坛,冯庆华,上海上海外语教育出版社2006,《红楼梦》研究,I207.411,I207.411/F266.3,chieng,人文科学
汉光武,'南宫搏,',长沙岳麓书社2003,传记小说,I247.53,I247.53/N153.1/5,chi,人文科学
千古智圣,'杨力,',北京中国文联出版公司2006,'诸葛亮,',I247.53,I247.53/Y165.0-5,chi,人文科学
'Memories of midnight /','Sheldon, Sidney.',null,null,null,I712.45/S325.7/7,null,自然科学
西施,南宫搏,长沙岳麓书社1994,'长篇小说 - 中国 - 当代',I247.53,I247.53/N153.1,chi,人文科学
十年一覺楊州夢,'南宫搏,',长沙岳麓书社2003,历史小说,I247.53,I247.53/N153.1/8,chi,人文科学
外贸英语口语大全,李雪,北京机械工业出版社2010,对外贸易,H319.9,H319.9/L490.11-6,chieng,人文科学
纺织品服装外贸实务英语,卓乃坚,上海东华大学出版社2008,纺织品,H31-43,H31-43/Z387.54,chieng,人文科学
大学士孙承宗,杨延欣,北京中国社会出版社2006,'孙承宗,',I247.53,I247.53/Y169.91,chi,人文科学
生当作人杰,上海辞书出版社,上海上海辞书出版社2009,古典诗歌,I207.22,I207.22/S317.11-3,chi,人文科学
教师课堂话语手册,徐立新,北京外语教学与研究出版社2012,英语课,G633.413,G633.413/X859,chieng,社会科学
晏殊词集,'晏殊,',上海上海古籍出版社2010,宋词,I222.844,I222.844/Y157.0,chi,人文科学
我的第一本英语教师课堂用语手册,金旦海,大连大连理工大学出版社2010,英语,G633.41,G633.41/J452,chieng,社会科学
唐诗宋词三百首,应炯,上海华东师范大学出版社2003,唐诗,I222,I222/Y464.0,chi,人文科学
幽冥怪谈,宁航一,西安陕西师范大学出版社2008,推理小说,I247.56,I247.56/N463.9-1,chi,人文科学
武则天,南宫搏,长沙岳麓书社1994,长篇小说,I247.53,I247.53/N153.1/3,chi,人文科学
兵家妙语选,王建伟,天津百花文艺出版社1993.5,null,I262,I262/W164.8,chi,人文科学
文白对照全译史记,'司马迁,',北京新世界出版社2009,史记,K204.2,K204.2/S451.60,chi,人文科学
宏观经济学纵横谈,梁小民,北京三联书店2002,宏观经济学,F015-49,F015-49/L416.95,chi,社会科学
中国十大古典悲剧故事,张中良,郑州中州古籍出版社2010,戏剧文学,I247.8,I247.8/Z316.95,chi,人文科学
说岳全传,钱彩,南京凤凰出版社2005,章回小说,I242.4,I242.4/Q415.10,chi,人文科学
少年天子,'凌力,',武汉长江文艺出版社2009,长篇历史小说,I247.53,I247.53/L465.0-6,chi,人文科学
第七重推理,庄驷,北京广西人民出版社2010,推理小说,I247.56,I247.56/Z396.70,chi,人文科学
幽默诗三百首,喻岳衡,长沙岳麓书社2004,古体诗,I222.7,I222.7/Y893,chi,人文科学
再生缘之孟丽君传,'陈端生,',北京东方出版社2007,电视文学剧本,I235.2,I235.2/C325.27,chi,人文科学
四大名捕会京师,'温瑞安,',北京作家出版社2012,侠义小说,I247.58,I247.58/W256.1-24,chi,人文科学
死者的警告,宁航一,武汉长江文艺出版社2012,推理小说,I247.56,I247.56/N463.9-3,chi,人文科学
地铁幽光,若光燃燃,合肥安徽文艺出版社2010,恐怖小说,I247.56,I247.56/R873.66,chi,人文科学
MBA教不了的创富课,老雕,北京当代中国出版社2011,企业管理,F270-49,F270-49/L172.0,chi,社会科学
鹿鼎记,金庸,广州广州出版社2008,侠义小说,I247.58,I247.58/J459.0-16,chi,人文科学
红楼译评,刘士聪,天津南开大学出版社2004,'曹雪芹,红楼梦',I207.411-53,I207.411-53/L487.1,chieng,人文科学
唐伯虎,史清禄,重庆重庆出版社2008,传记小说,I247.53,I247.53/S346.5,chi,人文科学
'No monsters in the closet','Roberts, Willo Davis',null,null,null,I712.84/R712.8/1,null,自然科学
那多三国事件簿之桃源三结义,那多,沈阳春风文艺出版社2003,长篇小说,I247.53,I247.53/N120,chi,人文科学
千古名门,'杨力,',北京中国文联出版社2007,长篇历史小说,I247.53,I247.53/Y165.0-6,chi,人文科学
'Nutty knows all','Hughes, Dean',null,null,null,I712.45/H833.21/2,null,自然科学
汉诗英译论纲,卓振英,杭州浙江大学出版社2011,汉诗,H315.9,H315.9/Z387.99,chieng,人文科学
跨文化交际翻译,'金惠康,',北京中国对外翻译出版公司2002,英语,H315.9,H315.9/J453.4,chieng,人文科学
《水浒传》英译的语言与文化,'孙建成,',上海复旦大学出版社2008,水浒传,H315.9,H315.9/S854.1,chi,人文科学
夜谈蓬莱店,菖蒲,南宁接力出版社2005,长篇小说,I247.56,I247.56/C316.60,chi,人文科学
'The Reader\'s digest.','The Reader\'s digest (Asia ed.)',null,null,null,C913/R2,null,自然科学
'Battlefield of the mind :','Meyer, Joyce,',null,null,null,B97/M292.4,null,自然科学
去圣乃得真孔子,李零,北京生活·读书·新知三联书店2008,论语,B222.25,B222.25/L450-1,chi,人文科学
'新文学史纲 第1卷',张毕来,北京人民文学出版社1985.3,null,I209,I209/Z316.15,chi,人文科学
'The naked face /','Sheldon, Sidney.',null,null,null,I712.45/S325.7-4,null,自然科学
'Nights in Rodanthe /','Sparks, Nicholas.',null,null,null,I712.45/S616.5-3,null,自然科学
'The president\'s daughter /','Stewart, Mariah.',null,null,null,I712.45/S728.5-1,null,自然科学
潘金莲,'南宫搏,',长沙岳麓书社1994,长篇小说,I247.53,I247.53/N153.1/2,chi,人文科学
神雕侠侣,'金庸,',广州广州出版社花城出版社2008,长篇小说,I247.58,I247.58/J459.0-15,chi,人文科学
'breaking down /','Meyer, Stephenie,',null,null,null,I712.45/M292.7-5,null,自然科学
'The man in the iron mask',大仲马,大连大连理工大学出版社2008,英语,H319.4:I565,H319.4:I565/D193-9,eng,人文科学
处世之道,格拉西安,上海华东师范大学出版社2006,人生哲学,B821-49,B821-49/G251,engchi,人文科学
'Nothing lasts forever /','Sheldon, Sidney.',null,null,null,I712.45/S325.7-9,null,自然科学
'Are you afraid of the dark? /','Sheldon, Sidney.',null,null,null,I712.45/S325.7-11,null,自然科学
英译汉教程,司显柱,北京北京大学出版社2006,英语,H315.9,H315.9/S499,chieng,人文科学
汉译英基本技巧,'黄新渠,',成都四川人民出版社2002,英语,H315.9,H315.9/H969.6,chieng,人文科学
'The phantom of the opera',勒鲁,大连大连理工大学出版社2008,英语,H319.4:I565,H319.4:I565/L258-2,eng,人文科学
'Message in a bottle','Sparks, Nicholas',null,null,null,I712.45/S616.5,null,自然科学
'A walk to remember /','Sparks, Nicholas.',null,null,null,I712.45/S616.5-5,null,自然科学
'Gulliver\'s travels',斯威夫特,大连大连理工大学出版社2008,英语,H319.4:I561,H319.4:I561/S482-6,eng,人文科学
青蛇,李碧华,北京人民文学出版社1995.1,长篇小说,I247.5,I247.5/L413/4,chi,人文科学
杨家将演义,熊大木,上海上海古籍出版社2000,讲史小说,I242.43,I242.43/X476.25,chi,人文科学
英国文学学习指南,李正栓,北京清华大学社出版社1998.12,文学史,I561.09,I561.09/L497,chi,人文科学
'Harry Potter and the goblet of fire /','Rowling, J. K.',null,null,null,I561.45/R785.4-3,null,自然科学
'The selected short stories of Mark Twain /','Twain, Mark,',null,null,null,I712.44/T814.5-20,null,自然科学
幽默的艺术,克洛德,天津百花文艺出版社2009,英语,H319.4:I17,H319.4:I17/K258,chieng,人文科学
穷理查年鉴,'富兰克林,',上海上海远东出版社2003,人生哲学,B821,B821/F851,chieng,人文科学
劳拉的原型,纳博科夫,北京人民文学出版社2011,长篇小说,I712.45,I712.45/N117-18,chieng,人文科学
玄武门,'南宫搏,',长沙岳麓书社2003,长篇小说,I247.53,I247.53/N153.1/10,chi,人文科学
华胥引,唐七公子,北京现代出版社2011,长篇小说,I247.57,I247.57/T163.39,chi,人文科学
新版中日交流标准日本语同步辅导,吴桐,北京人民教育出版社2006,日语,H369.6,H369.6/W87/1,chijpn,人文科学
独眼娃娃,娇无那,南宁广西人民出版社2008,恐怖小说,I247.56,I247.56/J417.85,chi,人文科学
卸妆,宛如,南宁广西人民出版社2009,长篇小说,I247.56,I247.56/W156.0,chi,人文科学
自然记,祝勇,北京中国国际广播出版社2007,散文集,I16,I16/Z389.0-7,chi,人文科学
厚黑学,'李宗吾,',北京群言出版社2006,伦理学,B825,B825/L498,chi,人文科学
张居正,'熊召政,',北京作家出版社2012,历史小说,I247.53,I247.53/X476.99-6,chi,人文科学
魍魉之匣,'京极夏彦,',上海上海人民出版社2009,长篇小说,I313.45,I313.45/J464-2,chi,人文科学
'My life as a whale','Sheldon, Dyan',null,null,null,I712.45/S325.2,null,自然科学
中国人最该读的历史常识,张晓静,合肥安徽教育出版社2009,中国,K209,K209/Z316.941,chi,人文科学
苇间风,'叶芝,',北京中国社会科学出版社2004,诗歌,I562.25,I562.25/Y217.81,chieng,人文科学
《廊桥遗梦》英文原著赏析,王秀盈,北京世界知识出版社2001,廊桥遗梦,I712.074,I712.074/W169.9,chieng,人文科学
乡愁,'余光中,',武汉长江文艺出版社2008,诗歌,I227,I227/Y839-2,chi,人文科学
戴望舒经典作品,'戴望舒,',北京当代世界出版社2004,散文,I216.2,I216.2/D148.7/1,chi,人文科学
英语诗歌欣赏,蒲度戎,重庆重庆大学出版社2008,英语,H319.4:I106.2,H319.4:I106.2/P826,chieng,人文科学
酒香·书香·美人香,张文华,北京中华工商联合出版社1999,侠义小说,I207.425,I207.425/Z316.83,chi,人文科学
英译樂府詩精华,'汪榕培,',上海上海外语教育出版社2008,英语,H319.4:I222.6,H319.4:I222.6/W166.6,chieng,人文科学
唐朝从来不淡定,豆子,昆明云南人民出版社2011,古代史,K240.9,K240.9/D789.0,chi,人文科学
张国荣的荣光魅影,陈舒,北京东方出版社2006,'张国荣,',K825.78,K825.78/C325.70,chi,人文科学
大史记之史料未及,新浪网,北京中国友谊出版社2008,中国历史,K209,K209/X581.46,chi,人文科学
妙笔生花,谷约,北京世界知识出版社2002,英语,H315,H315/G890/1,chi,人文科学
'Wish it, dream it, do it :','Levine, Leslie.',null,null,null,B848/L284.5,null,自然科学
'The game of life :','Harry, Lou,',null,null,null,B848/H166.5,null,自然科学
'Forrest Gump :','Groom, Winston,',null,null,null,I712.45/G677.8-1,null,自然科学
'Desperado /','Palmer, Diana.',null,null,null,I712.45/P155.21,null,自然科学
'The shining /','King, Stephen,',null,null,null,I712.45/K467-5,null,自然科学
白话野史,颜邦逸,大连大连出版社2007,中国历史,K204.5,K204.5/Y151.9,chi,人文科学
云海玉弓缘,梁羽生,'广州广东旅游出版社, 花城出版社1996.3',侠义小说,I247.58,I247.58/L416.97/9:1/:3,chi,人文科学
'Confessions of a shopaholic','Kinsella, Sophie',null,null,null,I712.45/K457.7/1,null,自然科学
英汉语比较导论,魏志成,上海上海外语教育出版社2010,英语,H31,H31/W249.1-1,chieng,人文科学
'The truth about Cinderella','Daly, Martin',null,null,null,C913.11/D159.5,null,自然科学
'Please don\'t just do what I tell you, do what needs to be done :','Nelson, Bob,',null,null,null,F24/N257.1,null,自然科学
戏袍怨,'宛如,',南宁广西人民出版社2007,长篇小说,I247.5,I247.5/W156.0,chi,人文科学
