@relation LibReaderClassificationProblem

@attribute bookname string
@attribute author string
@attribute publisher string
@attribute topic string
@attribute categorycode string
@attribute acquirecode string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
实用求职英语,金荆,北京金盾出版社2008.10,职业选择,H31,H31/J454.0,chi,人文科学
出国英语口语25天快训,刘军怀,西安西安交通大学出版社2002,英语,H319.9,H319.9/L484.3,chi,人文科学
歌舞青春·东高中传奇,哈普卡,上海上海外语教育出版社2009,英语,H319.4,H319.4/H168,chieng,人文科学
市场营销行话连篇,钟玲,大连大连理工大学出版社2002,英语,H319.9:F713.5,H319.9:F713.5/Z376.50,chieng,人文科学
'Inside Photoshop CS - 网站设计完全攻略',杨艳哲,北京中国电力出版社2006,图象处理,TP391.41,TP391.41/Y169.91,chi,科学技术
'Visual C# 2005动态网站开发技术与实践',王路,北京电子工业出版社2007,C语言,TP312C,TP312C/W165.0,chi,科学技术
商人三绝,欧阳正人,北京线装书局2004,商业经营,F715,F715/Q891.96,chi,社会科学
HTML+CSS+JavaScript实用详解,叶青,北京电子工业出版社2008,超文本标记语言,TP312JA,TP312JA/Y260,chi,科学技术
ASP.NET程序设计教程,常永英,北京机械工业出版社2007,'网页制作工具, ASP.NET',TP393.092,TP393.092/C316.99,chi,科学技术
C语言实验与实训学习指导,丁一凡,北京中国水利水电出版社2008,C语言,TP312C,TP312C/D469.2,chi,科学技术
我为什么不要应届毕业生,宋三弦,重庆重庆出版社2005,大学生,D669.2,D669.2/S767.9,chi,社会科学
成长,猫猫,太原山西经济出版社2010.02,长篇小说,I247.57,I247.57/M175.0-5,chi,人文科学
Redis入门指南,李子骅,北京人民邮电出版社2013,数据库,TP311.13,TP311.13/L493.1,chi,科学技术
高性能网站建设指南,桑德斯,北京电子工业出版社2008,网站,TP393.092,TP393.092/S162,chi,科学技术
HTTP权威指南,古尔利,北京人民邮电出版社2012,计算机网络,TN915.04,TN915.04/G826,chi,科学技术
程序员的数学,'结城浩,',北京人民邮电出版社2012,电子计算机,TP301.6,TP301.6/J421,chi,科学技术
'IIS 7开发与管理完全参考手册',谢弗,北京清华大学出版社2009,互联网络,TP368.5-62,TP368.5-62/X422,chi,科学技术
'Java 7编程高级进阶',萨兰加,北京清华大学出版社2013,JAVA语言,TP312JA,TP312JA/S151,chi,科学技术
Java程序员面试宝典,欧立奇,北京电子工业出版社2007,JAVA语言,TP312JA,TP312JA/O856,chi,科学技术
框架设计,里克特,北京清华大学出版社2006,C语言,TP312C,TP312C/L442.1-1,chi,科学技术
'ASP .NET 4揭秘',沃尔瑟,北京人民邮电出版社2011-,网页制作,TP393.092,TP393.092/W726-2,chi,科学技术
'SQL Server 2005高级程序设计',维埃拉,北京人民邮电出版社2008,关系数据库,TP311.138SQ,TP311.138SQ/W241,chi,科学技术
'.NET 4.0面向对象编程漫谈',金旭亮,北京电子工业出版社2010,计算机网络,TP393.09,TP393.09/J459.5-1,chi,科学技术
'Microsoft SQL Server 2008技术内幕',本-甘,北京电子工业出版社2010,关系数据库,TP311.138SQ,TP311.138SQ/B253-1,chi,科学技术
SQL解惑,切尔科,北京人民邮电出版社2008,关系数据库,TP311.138SQ,TP311.138SQ/Q422,chi,科学技术
'SQL Server 2008高级程序设计',维埃拉,北京清华大学出版社2010,关系数据库,TP311.138SQ,TP311.138SQ/W241-1,chi,科学技术
C#高效编程,瓦格纳,北京人民邮电出版社2010,C语言,TP312C,TP312C/W132-2,chi,科学技术
Java核心技术.,'Horstmann, Cay S.,',null,null,null,TP312JA/H767.1-1,null,自然科学
'深入解析SQL Server 2008',德莱尼,北京人民邮电出版社2010,关系数据库,TP311.138SQ,TP311.138SQ/D251-1,chi,科学技术
'SQL Server 2005开发者指南',蒲卫,北京科学出版社2008,关系数据库,TP311.138SQ,TP311.138SQ/P880,chi,科学技术
.NET程序员面试宝典,欧立奇,北京电子工业出版社2009,计算机网络,TP393.09,TP393.09/O856,chi,科学技术
敏捷软件开发,马丁,北京人民邮电出版社2010,软件开发,TP311.52,TP311.52/M124-2,chi,科学技术
